Name,wRC+
Aaron Judge,194
DJ LeMahieu,140
Jose Trevino,116
Matt Carpenter,239
Anthony Rizzo,142
Gleyber Torres,117
Giancarlo Stanton,126
Aaron Hicks,97
Josh Donaldson,96
Kyle Higashioka,69
Isiah Kiner-Falefa,84
Marwin Gonzalez,85
Joey Gallo,82
Tim Locastro,130
Miguel Andujar,56
Rob Brantly,180
